ProductID,Category,Region,Season,Price,DiscountPercent,MarketingSpend,UnitsSold,Revenue,HighSales
1,Electronics,North,Regular,246,30,35531,247,42533.399999999994,Yes
2,Home,North,Festival,3559,30,9712,375,934237.4999999999,Yes
3,Beauty,West,Festival,600,10,39565,190,102600.0,No
4,Grocery,South,Off-Season,4190,5,10208,250,995125.0,Yes
5,Electronics,South,Festival,3357,10,6109,129,389747.7,No
6,Beauty,West,Off-Season,4545,5,36201,272,1174428.0,Yes
7,Home,East,Regular,590,10,17967,135,71685.0,No
8,Grocery,North,Festival,4053,30,30759,241,683741.1,Yes
9,Beauty,West,Off-Season,4630,30,21172,22,71302.0,No
10,Beauty,North,Regular,828,0,37935,44,36432.0,No
11,Beauty,East,Festival,4432,10,27589,25,99720.0,No
12,Grocery,North,Regular,3130,20,31015,403,1009112.0,Yes
13,Grocery,West,Festival,1721,0,30009,229,394109.0,Yes
14,Clothing,North,Regular,1026,10,18773,359,331500.60000000003,Yes
15,Home,South,Regular,1700,10,42125,286,437580.0,Yes
16,Electronics,East,Off-Season,3494,0,27143,12,41928.0,No
17,Beauty,East,Regular,2619,30,7154,104,190663.19999999998,No
18,Clothing,East,Festival,1134,10,22804,244,249026.4,Yes
19,Electronics,West,Festival,3242,30,42688,482,1093850.8,Yes
20,Clothing,East,Off-Season,4697,0,21581,91,427427.0,No
21,Grocery,South,Festival,1666,30,31087,302,352192.39999999997,Yes
22,Beauty,West,Festival,3761,5,33981,432,1543514.4,Yes
23,Electronics,South,Festival,814,20,4762,18,11721.6,No
24,Electronics,North,Regular,1382,10,47167,338,420404.4,Yes
25,Electronics,North,Regular,3423,20,10768,6,16430.4,No
26,Electronics,North,Festival,2867,30,44408,379,760615.1,Yes
27,Electronics,North,Off-Season,330,10,40499,297,88209.0,Yes
28,Clothing,South,Regular,3183,30,39559,329,733044.8999999999,Yes
29,Beauty,West,Off-Season,4478,5,49590,426,1812246.5999999999,Yes
30,Grocery,West,Festival,4659,0,9783,497,2315523.0,Yes
31,Grocery,East,Festival,238,10,47389,45,9639.0,No
32,Grocery,South,Regular,4159,5,30781,322,1272238.0999999999,Yes
33,Grocery,North,Festival,3787,5,31811,320,1151248.0,Yes
34,Clothing,South,Regular,1120,10,49787,385,388080.0,Yes
35,Home,East,Festival,2969,30,36488,115,239004.49999999997,No
36,Beauty,East,Festival,4311,5,9905,18,73718.09999999999,No
37,Electronics,South,Regular,692,20,10127,235,130096.0,Yes
38,Home,South,Regular,1331,5,23431,477,603142.65,Yes
39,Grocery,South,Regular,3721,30,7368,88,229213.59999999998,No
40,Home,West,Festival,510,30,28424,134,47838.0,No
41,Beauty,North,Festival,938,20,47824,235,176344.0,Yes
42,Electronics,South,Off-Season,3441,5,46004,330,1078753.5,Yes
43,Electronics,South,Regular,745,30,19333,149,77703.5,No
44,Beauty,South,Festival,2661,10,24116,383,917246.7000000001,Yes
45,Beauty,East,Festival,4546,0,48219,349,1586554.0,Yes
46,Grocery,East,Regular,2004,0,44201,32,64128.0,No
47,Electronics,West,Off-Season,3412,0,16525,70,238840.0,No
48,Home,North,Regular,4010,5,24398,167,636186.5,No
49,Clothing,West,Off-Season,1013,20,33857,233,188823.2,Yes
50,Clothing,North,Festival,4324,30,11361,265,802102.0,Yes
51,Beauty,East,Off-Season,2232,10,17369,453,909986.4,Yes
52,Grocery,East,Festival,4772,10,4041,428,1838174.4000000001,Yes
