ProductID,ProductCategory,WarehouseLocation,Supplier,LeadTime,DailyDemand,MonthlyDemand,CurrentStock,ReorderPoint,HoldingCost,ShortageCost,Sales
P1000,Grocery,Central,Supplier_A,25,96,2240,4783,1014,3.79,34.64,35196
P1001,Furniture,East,Supplier_D,17,66,227,2632,1092,2.77,47.43,37735
P1002,Clothing,Central,Supplier_B,29,88,2313,3828,341,5.34,41.4,81102
P1003,Pharmacy,South,Supplier_C,21,66,1452,3230,680,8.34,8.44,80578
P1004,Furniture,East,Supplier_D,8,115,4556,488,786,3.16,17.57,26498
P1005,Clothing,South,Supplier_D,15,131,2246,1347,582,9.45,46.86,77865
P1006,Clothing,North,Supplier_C,27,11,5768,3681,1231,8.8,16.39,32656
P1007,Electronics,South,Supplier_B,14,88,5743,3173,1349,2.04,40.15,68695
P1008,Pharmacy,North,Supplier_A,18,136,4755,4589,772,7.97,42.13,38900
P1009,Electronics,North,Supplier_A,20,138,4223,1667,730,5.96,27.3,85899
P1010,Grocery,South,Supplier_B,7,62,4596,1637,760,5.88,22.39,48701
P1011,Electronics,East,Supplier_D,3,26,3574,4114,761,4.21,25.26,20033
P1012,Electronics,Central,Supplier_D,29,158,3666,3553,904,5.26,15.21,11805
P1013,Furniture,Central,Supplier_D,12,131,3281,1000,518,4.27,45.02,36851
P1014,Clothing,North,Supplier_D,21,7,3978,850,1087,5.63,25.28,27832
P1015,Pharmacy,North,Supplier_B,24,131,829,1388,1283,6.47,44.71,64437
P1016,Electronics,East,Supplier_D,28,45,469,3712,749,6.91,9.76,14944
P1017,Pharmacy,West,Supplier_C,26,192,2839,1367,1068,5.56,49.47,20873
P1018,Electronics,South,Supplier_D,3,110,2193,821,689,7.35,24.95,41372
P1019,Grocery,North,Supplier_A,20,18,5924,454,1200,1.84,7.15,90464
P1020,Electronics,Central,Supplier_D,14,16,3091,1624,608,2.51,6.71,16379
P1021,Furniture,East,Supplier_B,15,91,5157,2772,540,8.28,38.58,37751
P1022,Clothing,South,Supplier_A,25,16,3632,3726,1377,3.56,34.66,90822
P1023,Grocery,East,Supplier_B,14,145,1480,3147,1020,0.72,41.1,6110
P1024,Electronics,South,Supplier_B,7,29,2560,4089,869,1.96,9.74,55341
P1025,Pharmacy,South,Supplier_A,17,49,775,4806,1443,2.62,6.6,13087
P1026,Grocery,North,Supplier_B,12,126,1507,2190,362,9.59,27.89,24762
P1027,Grocery,East,Supplier_B,20,151,3392,916,1497,5.94,22.44,83617
P1028,Electronics,East,Supplier_D,4,59,3378,3986,736,9.36,25.79,10596
P1029,Grocery,Central,Supplier_C,9,104,2934,2875,1290,5.96,49.62,19313
P1030,Pharmacy,Central,Supplier_B,6,177,2412,1440,558,5.05,48.68,67549
P1031,Grocery,North,Supplier_B,16,140,2552,4400,1098,3.48,47.4,24705
P1032,Pharmacy,North,Supplier_B,25,123,3768,735,1403,6.26,40.27,68364
P1033,Electronics,West,Supplier_D,28,57,1855,3568,799,1.82,20.97,74445
P1034,Clothing,Central,Supplier_C,22,187,1779,3338,401,9.03,23.55,79645
P1035,Grocery,South,Supplier_A,22,36,2403,3015,1341,8.38,29.73,3023
P1036,Clothing,East,Supplier_D,21,55,1590,2889,1225,3.52,42.37,60796
P1037,Pharmacy,North,Supplier_D,21,48,1942,961,653,9.55,8.09,81073
P1038,Grocery,East,Supplier_C,2,86,2125,2989,387,8.34,24.09,93197
P1039,Furniture,East,Supplier_C,24,150,819,3848,1290,6.83,8.72,65429
P1040,Clothing,West,Supplier_D,8,154,1474,1026,720,1.66,28.16,62627
P1041,Grocery,Central,Supplier_A,11,41,1156,3865,1105,5.04,45.45,34848
P1042,Clothing,North,Supplier_D,13,100,2139,2863,135,5.31,40.21,38804
P1043,Grocery,East,Supplier_C,17,60,4153,2501,843,2.71,15.25,16379
P1044,Electronics,North,Supplier_A,8,109,2581,1947,452,1.26,48.92,60664
P1045,Clothing,South,Supplier_C,21,63,1168,1177,172,7.88,35.03,28766
P1046,Furniture,West,Supplier_A,18,135,1516,4760,747,1.66,5.47,69099
P1047,Furniture,South,Supplier_B,18,160,1243,11,1476,6.15,16.49,37060
P1048,Pharmacy,North,Supplier_C,14,39,481,4399,1193,9.4,16.73,95733
P1049,Grocery,North,Supplier_C,15,193,3044,3364,524,8.82,8.12,70122
P1050,Clothing,Central,Supplier_D,6,97,1258,3022,1098,3.14,48.19,17087
P1051,Pharmacy,East,Supplier_C,11,186,4493,3371,807,8.59,26.52,49868
P1052,Clothing,East,Supplier_C,13,195,2732,2830,660,0.5,45.31,24225
P1053,Grocery,South,Supplier_B,25,101,4028,42,927,0.67,19.5,96286
P1054,Furniture,West,Supplier_C,1,139,5378,943,1055,6.22,10.64,7643
P1055,Electronics,East,Supplier_B,28,80,5480,2390,616,3.97,26.35,94059
P1056,Furniture,Central,Supplier_B,6,53,1208,2545,527,4.17,10.13,37727
P1057,Pharmacy,South,Supplier_B,9,98,1429,2411,259,5.86,26.87,12005
P1058,Electronics,South,Supplier_B,8,163,1235,4986,248,2.32,46.41,66697
P1059,Pharmacy,Central,Supplier_A,11,190,4785,1004,875,2.51,28.43,17029
P1060,Grocery,West,Supplier_D,22,193,475,20,1353,5.1,32.74,15226
P1061,Electronics,Central,Supplier_A,19,28,2940,406,166,7.67,12.05,64646
P1062,Pharmacy,West,Supplier_C,24,152,2489,1014,1113,6.39,6.97,61603
